Book Title,Author,Publisher,Description,Time on Bestseller List
"TIME FOR SCHOOL, LITTLE BLUE TRUCK",Alice Schertle. Illustrated by Jill McElmurr,Houghton Mifflin Harcourt,Blue gives a friend a ride to school.,5 weeks on the list
THE PIGEON HAS TO GO TO SCHOOL!,Mo Willems,Hyperion,Pigeon deals with the anxieties of going to school for the first time.,33 weeks on the list
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,A celebration of future possibilities.,272 weeks on the list
DRAGONS LOVE TACOS,Adam Rubin. Illustrated by Daniel Salmieri,Dial,What to serve your dragon-guests.,318 weeks on the list
"GOOD NIGHT, LITTLE BLUE TRUCK",Alice Schertle and Jill McElmurr,Houghton Mifflin Harcourt,Blue and Toad offer shelter from a storm to other farm animals.,29 weeks on the list
GRUMPY MONKEY,Suzanne Lang. Illustrated by Max Lang,Random House,Jim Panzee is having a bad day.,57 weeks on the list
THE DAY THE CRAYONS QUIT,Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,Problems arise when Duncan’s crayons revolt.,318 weeks on the list
WE DON'T EAT OUR CLASSMATES!,Ryan T. Higgins,Disney-Hyperion,Penelope Rex must control her urge to eat the children in her class.,28 weeks on the list
ALL ARE WELCOME,Alexandra Penfold and Suzanne Kaufman,Knopf,"A celebration of kindness, inclusivity and diversity at a school.",25 weeks on the list
HOW TO CATCH A UNICORN,Adam Wallace. Illustrated by Andy Elkerton,Sourcebooks Wonderland,Children attempt to capture the mythical creature.,32 weeks on the list
