Book Title,Author,Publisher,Description,Time on Bestseller List
I ALONE CAN FIX IT,Carol Leonnig and Philip Rucker,Penguin Press,"The Pulitzer Prize-winning reporters examine Trump’s final year in office, with a focus on the key players around him.",New this week
AMERICAN MARXISM,Mark R. Levin,Threshold Editions,"The Fox News host gives his take on the Green New Deal, critical race theory and social activism.",2 weeks on the list
LANDSLIDE,Michael Wolff,Holt,The author of “Fire and Fury” and “Siege” portrays events during the final days of Trump’s presidency.,2 weeks on the list
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",48 weeks on the list
HOW I SAVED THE WORLD,Jesse Watters,Broadside,The Fox News host recounts his career and prescribes ways to defend against what he considers left-wing radicalism.,3 weeks on the list
"FRANKLY, WE DID WIN THIS ELECTION",Michael C. Bender,Twelve,A senior White House reporter for The Wall Street Journal looks at Trump’s 2020 campaign and final year in office.,2 weeks on the list
GREENLIGHTS,Matthew McConaughe,Crown,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.,40 weeks on the list
UNTAMED,Glennon Doyle,Dial,The activist and public speaker describes her journey of listening to her inner voice.,72 weeks on the list
THIS IS YOUR MIND ON PLANTS,Michael Pollan,Penguin Press,"A look at arbitrary beliefs surrounding opium, caffeine and mescaline, which are derived from plants.",3 weeks on the list
WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfre,Flatiron,An approach to dealing with trauma that shifts an essential question used to investigate it.,13 weeks on the list
CASTE,Isabel Wilkerson,Random House,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.,51 weeks on the list
KILLING THE MOB,Bill O'Reilly and Martin Dugard,St. Martin's,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.,12 weeks on the list
BORN A CRIME,Trevor Noah,Spiegel & Grau,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”,76 weeks on the list
BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,14 weeks on the list
PERVERSION OF JUSTICE,Julie K. Brown,Dey Street,An investigative reporter for The Miami Herald gives an account of the billionaire Jeffrey Epstein's underage sex trafficking operation.,New this week
