Book Title,Author,Publisher,Description,Time on Bestseller List
BLACK ICE,Brad Thor,Emily Bestler/Atria,The 20th book in the Scot Harvath series. The American spy faces dangers in the Arctic Circle.,New this week
THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,12 weeks on the list
THE CELLIST,Daniel Silva,Harper,The 21st book in the Gabriel Allon series. A private intelligence service plans an act of violence that will aid Russia and divide America.,2 weeks on the list
THE PAPER PALACE,Miranda Cowley Heller,Riverhead,"After an extramarital dalliance, Elle must choose between her husband and her childhood love.",3 weeks on the list
MALIBU RISING,Taylor Jenkins Reid,Ballantine,An epic party has serious outcomes for four famous siblings.,8 weeks on the list
THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,34 weeks on the list
THE PRESIDENT'S DAUGHTER,Bill Clinton and James Patterson,"Little, Brown","Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter.",7 weeks on the list
FALSE WITNESS,Karin Slaughter,Morrow,Leigh Collier’s past may come to light when a wealthy man she knows asks her to represent him in a rape case.,New this week
FALLING,T.J. Newman,Avid Reader,A kidnapper demands that a pilot crash his plane with 144 passengers onboard to save his family.,3 weeks on the list
THE PERSONAL LIBRARIAN,Marie Benedict and Victoria Christopher Murra,Berkley,A Black woman who becomes one of the most powerful people in the art and book world is forced to hide her true identity.,4 weeks on the list
NINE LIVES,Danielle Steel,Delacorte,"After tragedy upsets her stable family life, Maggie must decide if she will take a risk with a thrill seeker.",3 weeks on the list
IT'S BETTER THIS WAY,Debbie Macomber,Ballantine,Julia Jones begins a new life after discovering her husband’s infidelity almost six years ago.,2 weeks on the list
THE MAIDENS,Alex Michaelides,Celadon,A therapist suspects a Greek tragedy professor at Cambridge University of committing murder.,6 weeks on the list
GOLDEN GIRL,Elin Hilderbrand,"Little, Brown",A Nantucket novelist gets one final summer to watch what happens from the great beyond.,8 weeks on the list
PROJECT HAIL MARY,Andy Weir,Ballantine,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.",12 weeks on the list
