Book Title,Author,Publisher,Description,Time on Bestseller List
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",144 weeks on the list
BORN A CRIME,Trevor Noah,One World,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”,128 weeks on the list
BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,67 weeks on the list
KITCHEN CONFIDENTIAL,Anthony Bourdain,Ecco,A memoir-exposé of the restaurant world. Originally published in 2000.,66 weeks on the list
SAPIENS,Yuval Noah Harari,Harper Perennial,How Homo sapiens became Earth’s dominant species.,154 weeks on the list
OUTLIERS,Malcolm Gladwell,"Back Bay/Little, Brown","Unexpected factors that explain why some people succeed, such as upbringing, timing and 10,000 hours of deliberate practice.",338 weeks on the list
JUST MERCY,Bryan Stevenson,One World,A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,259 weeks on the list
THE BEAUTY IN BREAKING,Michele Harper,Riverhead,"A female African American emergency room physician finds success in a predominantly white male field and examines ways to heal mind, body and spirit.",4 weeks on the list
KILLERS OF THE FLOWER MOON,David Grann,Vintage,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil. The fledgling F.B.I. intervened, ineffectively.",89 weeks on the list
WHITE FRAGILITY,Robin DiAngelo,Beacon,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.,151 weeks on the list
JESUS AND JOHN WAYNE,Kristin Kobes Du Mez,Liveright,How rugged masculinity and Christian nationalism play a part in today’s white evangelicalism.,2 weeks on the list
GRIT,Angela Duckworth,Scribner,The MacArthur Fellow argues that passion and perseverance are more important than innate talent in creating success.,87 weeks on the list
"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",When we can and cannot trust our intuitions in making business and personal decisions.,280 weeks on the list
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",20 weeks on the list
COUNTDOWN 1945,Chris Wallace with Mitch Weiss,Avid Reader/Simon & Schuster,The Fox News Sunday anchor gives an account of the key people involved in and events leading up to America’s attack on Hiroshima in 1945.,5 weeks on the list
