Book Title,Author,Publisher,Description,Time on Bestseller List
PEOPLE WE MEET ON VACATION,Emily Henr,Berkley,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,11 weeks on the list
WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",17 weeks on the list
IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,12 weeks on the list
THE SONG OF ACHILLES,Madeline Miller,Ecco,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.,40 weeks on the list
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square,A movie icon recounts stories of her loves and career to a struggling magazine writer.,20 weeks on the list
THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,12 weeks on the list
ANXIOUS PEOPLE,Fredrik Backman,Washington Square/Atria,A failed bank robber holds a group of strangers hostage at an apartment open house.,3 weeks on the list
BEACH READ,Emily Henr,Berkley,A relationship develops between a literary fiction author and a romance novelist as they both try to overcome writer’s block.,21 weeks on the list
CIRCE,Madeline Miller,Back Bay,"Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals.",59 weeks on the list
"RED, WHITE AND ROYAL BLUE",Casey McQuiston,Griffin,"A staged friendship between the son of the president and his rival, the Prince of Wales, evolves into a secret and potentially dangerous romance.",18 weeks on the list
THE UNHONEYMOONERS,Christina Lauren,Gallery,"When food poisoning spoils a wedding, Olive Torres goes with the best man — who is also her nemesis — on her twin sister’s honeymoon.",8 weeks on the list
THE SHADOW,James Patterson and Brian Sitts,Grand Central,Lamont Cranston wakes up a century and a half after his heyday as a crusader for justice and finds Shiwan Khan still is a threat.,2 weeks on the list
A TIME FOR MERCY,John Grisham,Bantam,"The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990.",4 weeks on the list
THE BOOK OF LOST FRIENDS,Lisa Wingate,Ballantine,The stories of three women struggling to get from Louisiana to Texas during Reconstruction are discovered by a first-year teacher living a century later.,2 weeks on the list
THE EXILES,Christina Baker Kline,Custom House,Three young women are sent to the fledgling British penal colony of Australia in the 1840s.,2 weeks on the list
