Book Title,Author,Publisher,Description,Time on Bestseller List
BLACK ICE,Brad Thor,Emily Bestler/Atria,The 20th book in the Scot Harvath series. The American spy faces dangers in the Arctic Circle.,New this week
THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,12 weeks on the list
THE CELLIST,Daniel Silva,HarperCollins,The 21st book in the Gabriel Allon series. A private intelligence service plans an act of violence that will aid Russia and divide America.,2 weeks on the list
PEOPLE WE MEET ON VACATION,Emily Henr,Berkley,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,11 weeks on the list
THE PAPER PALACE,Miranda Cowley Heller,Riverhead,"After an extramarital dalliance, Elle must choose between her husband and her childhood love.",3 weeks on the list
FALSE WITNESS,Karin Slaughter,Morrow,Leigh Collier’s past may come to light when a wealthy man she knows asks her to represent him in a rape case.,New this week
WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",140 weeks on the list
A TIME FOR MERCY,John Grisham,Doubleday,"The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990.",19 weeks on the list
MALIBU RISING,Taylor Jenkins Reid,Ballantine,An epic party has serious outcomes for four famous siblings.,8 weeks on the list
THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,34 weeks on the list
IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,6 weeks on the list
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square,A movie icon recounts stories of her loves and career to a struggling magazine writer.,4 weeks on the list
THE SONG OF ACHILLES,Madeline Miller,Ecco,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.,16 weeks on the list
THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,46 weeks on the list
LAST GUARD,Nalini Singh,Berkley,The fifth book in the Psy-Changeling Trinity series.,New this week
